,animal_id,breed,age,Success,Sex,Size,life_expectancy,Percent through Life
249,A692628,Chihuahua Shorthair Mix,3.0759510614333094,0,Female,small,15,0.20506340409555396
250,A640955,Chihuahua Shorthair Mix,14.000804640448164,0,Female,small,15,0.9333869760298776
251,A688461,Chihuahua Shorthair Mix,2.0171415794529204,1,Male,small,15,0.13447610529686135
252,A692404,Chihuahua Shorthair Mix,5.011413649835383,0,Female,small,15,0.3340942433223589
253,A618422,Chihuahua Shorthair Mix,3.676204850202263,0,Male,small,15,0.24508032334681754
254,A671050,Chihuahua Shorthair Mix,3.0161734251140606,0,Male,small,15,0.2010782283409374
255,A667879,Chihuahua Shorthair Mix,4.519134167330229,0,Male,small,15,0.3012756111553486
256,A619569,Chihuahua Shorthair Mix,2.9284957558638745,0,Male,small,15,0.19523305039092495
257,A687112,Chihuahua Shorthair Mix,0.5084787656298365,1,Male,small,15,0.033898584375322435
258,A674321,Chihuahua Shorthair Mix,2.011806463437914,0,Male,small,15,0.13412043089586093
259,A683493,Chihuahua Shorthair Mix,2.057599859454107,1,Female,small,15,0.13717332396360715
260,A665605,Chihuahua Shorthair Mix,1.0123411158340008,1,Female,small,15,0.06748940772226672
261,A669276,Chihuahua Shorthair Mix,1.0067702356045032,0,Male,small,15,0.06711801570696688
262,A669805,Chihuahua Shorthair Mix,1.1054090395041956,0,Male,small,15,0.07369393596694637
263,A665684,Chihuahua Shorthair Mix,0.20127038885124265,1,Male,small,15,0.013418025923416177
264,A651543,Chihuahua Shorthair Mix,1.080033965257481,0,Male,small,15,0.07200226435049874
265,A682294,Chihuahua Shorthair Mix,2.0221059372273977,0,Male,small,15,0.13480706248182653
266,A671577,Chihuahua Shorthair Mix,1.041977057860341,0,Male,small,15,0.06946513719068939
267,A676289,Chihuahua Shorthair Mix,2.01165055484446,1,Female,small,15,0.13411003698963067
268,A681857,Chihuahua Shorthair Mix,1.0140485050647476,0,Female,small,15,0.06760323367098317
269,A673411,Chihuahua Shorthair Mix,1.5183082320497874,1,Male,small,15,0.10122054880331915
270,A670957,Chihuahua Shorthair Mix,2.0546946359078024,0,Female,small,15,0.1369796423938535
271,A671482,Chihuahua Shorthair Mix,0.12806750157619784,1,Female,small,15,0.00853783343841319
272,A686574,Chihuahua Shorthair Mix,1.012301188023482,1,Female,small,15,0.06748674586823214
273,A669301,Chihuahua Shorthair Mix,0.17399208896980925,0,Male,small,15,0.011599472597987283
274,A692900,Chihuahua Shorthair Mix,2.011133394632029,0,Female,small,15,0.13407555964213527
275,A691188,Chihuahua Shorthair Mix,3.02729046835702,1,Male,small,15,0.20181936455713467
276,A682816,Chihuahua Shorthair Mix,0.20976550587014867,0,Female,small,15,0.01398436705800991
277,A670458,Chihuahua Shorthair Mix,2.0938809299453256,1,Female,small,15,0.13959206199635504
278,A675193,Chihuahua Shorthair Mix,4.0295241441568885,0,Male,small,15,0.2686349429437926
279,A670224,Chihuahua Shorthair Mix,0.16622517916178978,1,Female,small,15,0.011081678610785985
280,A685979,Chihuahua Shorthair Mix,10.017148043955576,0,Male,small,15,0.6678098695970384
281,A661782,Chihuahua Shorthair Mix,7.128732204555117,1,Female,small,15,0.4752488136370078
282,A688709,Chihuahua Shorthair Mix,2.019963144729567,1,Male,small,15,0.13466420964863782
283,A680424,Chihuahua Shorthair Mix,0.16909808019481729,1,Male,small,15,0.011273205346321152
284,A664309,Chihuahua Shorthair Mix,1.0423573227224225,0,Male,small,15,0.06949048818149484
285,A687069,Chihuahua Shorthair Mix,0.4094939207056499,1,Female,small,15,0.027299594713709994
286,A688060,Chihuahua Shorthair Mix,4.013047267682887,1,Male,small,15,0.2675364845121925
287,A665195,Chihuahua Shorthair Mix,2.025307767366126,0,Female,small,15,0.1350205178244084
288,A688618,Chihuahua Shorthair Mix,2.0637012091662084,1,Female,small,15,0.13758008061108057
